conditions,brand,year,adress,price,image
Venant,Honda,2020,Hann maristes                                                                                 Dakar,3000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a576f8b70f1e6f64fb49a5f04eb071db/-/horizon-files-prod/ed/picture/q6xdm266/44c63001475b5a339bf637b7b72dd1bacf1b44fc.jpg
Neuf,Yamaha,2016,Hann maristes                                                                                 Dakar,3850000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dbcbb44c3e0e957b41fee09c2f05b91f/-/horizon-files-prod/ed/picture/qgqw0jm0/e8f0f98edd52c05c7ec982ffc421cdc6239ffb45.jpg
Venant,Piaggio,2024,Dieuppeul                                                                                 Dakar,950000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1b1cd655a49dcb0101ac61459ce2e24a/-/horizon-files-prod/ed/picture/q8v4dnqn/d88579f2fc79871621eb0857b169aa3132c461ab.jpg
Venant,Can,Am,Almadies                                                                                 Dakar,7500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/199c75269527ec3af8759d13f2e8cd31/-/horizon-files-prod/ed/picture/qpdm72dr/d604ffb8dca62e66bae0760d1fece0292a762aa4.jpg
Venant,Honda,2020,Hann maristes                                                                                 Dakar,3500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/04d699dfc4ca8266049d7e5979485050/-/horizon-files-prod/ed/picture/qxjpzqkv/ea4dc80864dab3585962cd8d9fe998a0a426589b.jpg
Venant,Yamaha,2022,Castor                                                                                 Dakar,2850000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/22e9f4695aba2f54184842672b066cda/-/horizon-files-prod/ed/picture/qv4wqzg8/35a8f856d9d3d285e0d6e83cc0d3dc8c74f6a430.jpg
Neuf,Honda,2023,Sacré-cœur                                                                                 Dakar,4500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3ccb2d93bf2c12938111e81883f73d2c/-/horizon-files-prod/ed/picture/qgqw8m7n/a820ec6a5d0fdf2d600078b32f5dc5dfe08117a4.jpg
Neuf,Autre,2024,Saly                                                                                 Thiès,1050000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a60dc5e5d22b1fb1431f59c127fd3a3c/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qrz8v7xq/0c62c30d97f3fd559d4a3f9110cfc799cc8583c8.jpg
Venant,Yamaha,2006,Plateau                                                                                 Dakar,2300000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7870b47a691fed5350cb22d230fbe7c2/-/horizon-files-prod/ed/picture/q9mjw4g5/faf2135ca284c1c98b4aeb4c93f4c212c6cafe82.jpg
D,Yamaha,2013,Mbour                                                                                 Thiès,2450000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/94c3eb110a03fdd8218c5af64b78ad75/-/horizon-files-prod/ed/picture/qngxep7w/3b0536f3138b266089bc0ca6bd47ff8f703cebd2.jpg
Venant,Honda,2019,Liberte 6 extension                                                                                 Dakar,1600000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/69813f905c2796e61c452d9562c7464f/-/horizon-files-prod/ed/picture/q2j0gmw8/9d83332639002f9812d070ef90786e44c336238b.jpg
D,Yamaha,2022,Almadies                                                                                 Dakar,700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0e2d2ac9e99a0c0089da91873833ad55/-/horizon-files-prod/ed/picture/qxjpzp82/20f13042ac6bd35f1a7b1a58c8a17886a55e3f6f.jpg
Venant,Honda,2008,Hann maristes                                                                                 Dakar,750000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f0ab2aa2acf5b700848c6d8966a4208e/-/horizon-files-prod/ed/picture/q8v4d57j/6e708ce083b0d6c16e6b150e3224769fd0951906.jpg
Venant,BMW,2020,Hann maristes                                                                                 Dakar,3000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/566b0c7d40abd574b6462a06e5a318be/-/horizon-files-prod/ed/picture/q56d56j7/f8491acaa40d7e130ead7b56d0d588c67c8d5111.jpg
Neuf,Lifan,2024,Castor                                                                                 Dakar,1 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d9b28fa55f9ae4db758600c466983f0c/-/horizon-files-prod/ed/picture/qv4e7558/e62337323745c2821d432d4ed8f96599f65682b4.jpg
Venant,Honda,2024,Hann maristes                                                                                 Dakar,4500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4a706dfb639c350b965ce1401b528d07/-/horizon-files-prod/ed/picture/qpdm7dvv/3a54f858e995f1ffba23b6230db01ba3fe56fd30.jpg
Venant,Piaggio,2015,VDN                                                                                 Dakar,450000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/88355391d89492310de837fb6b63762d/-/horizon-files-prod/ed/picture/qrz8024n/e90882b0593ae842829d54b5a0b36084ee2f429f.jpg
Venant,Honda,2020,Pikine                                                                                 Dakar,2300000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8f68deb212e16b6f3b84ec1d8ed88cd9/-/horizon-files-prod/ed/picture/qv4wx70g/be01bf8bbde610c69b54b9537db0262f23645f1d.jpg
D,Kymco,2019,Liberte 6 extension                                                                                 Dakar,350000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/461c2bf492d06ae8073781364a759e2d/-/horizon-files-prod/ed/picture/qpdm2d2x/485a0399414823125b0be8e7b81b74f11d09ee97.jpg
Venant,KTM,2014,Fass                                                                                 Dakar,1850000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1aaee1f87e61d2936ba02050c1169f4c/-/horizon-files-prod/ed/picture/q56dv0ex/8f5e5710add811ad08c675b0d7d8113bbf0f8132.jpg
