conditions,brand,year,gearbox,adress,price,image
Venant,Mazda,2017,Automatique,Liberte 6                                                                                 Dakar,11500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c3a054d0f3da81f8a02bbf124788d5c6/-/horizon-files-prod/ed/picture/q0g7ze5w/59b6c64dfda796704c43f971c21707c5c61aa5b2.jpg
D'occasion,Jeep,2014,Automatique,Liberte 6                                                                                 Dakar,8500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/851fd19c12b6bf33821e3318452e3860/-/horizon-files-prod/ed/picture/qkr8q7vv/9846f0e2e58c79f9c4d7573852df1d1c415908f2.jpg
Venant,Ford,2015,Automatique,Mermoz                                                                                 Dakar,6400000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1277325dbadfc7b71fb98533e1caf5d6/-/horizon-files-prod/ed/picture/q56d8g25/b8c6491bed6be6a0fad7a4a3655dbfe5c9d76acf.jpg
D'occasion,Nissan,2014,Manuelle,Mbour                                                                                 Thiès,4000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/72664661776e5920c25826426a833cf1/-/horizon-files-prod/ed/picture/q9mj6g9v/9c2386d5f7b9c38652418f578b2cb26deffefbf2.jpg
Venant,Kia,2016,Automatique,Parcelles Assainies                                                                                 Dakar,9500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e56d6017a913bb46ba1b174566a0c71c/-/horizon-files-prod/ed/picture/q78wm8e5/536897aaee26b46e29bf560bdd05dea6c5f3092c.jpg
D'occasion,Ford,2011,Automatique,Keur Massar                                                                                 Dakar,3490000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1e9cdb1438d36e9e747bd7a883f65130/-/horizon-files-prod/ed/picture/qxjpjz28/6d097cd5ec87e0f303e25c74e9dd750e5a4f3dbc.jpg
D'occasion,Ford,2012,Automatique,Mermoz                                                                                 Dakar,4100000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0dfe72f7e1ca71bb2003754e0e63a6a9/-/horizon-files-prod/ed/picture/qenvjwjj/1745fecbb8dab3843c2b886a5a9af2851b106072.jpg
D'occasion,Hyundai,2014,Automatique,VDN                                                                                 Dakar,6500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/03cee9f0b4c9f0a3ca2f5bd9d67eaa01/-/horizon-files-prod/ed/picture/q44nqp74/2c363e9f136e3faf1c013f645de6e436f99247b8.jpg
Venant,Ford,2016,Automatique,Ouest foire                                                                                 Dakar,9800000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7d9b096969948f570a4e62cfbfe968ae/-/horizon-files-prod/ed/picture/qj4q7zw5/2d14207a212409a7d7b072e870065cdcee80595a.jpg
D'occasion,Mitsubishi,2017,Automatique,Saly Portudal                                                                                 Thiès,11000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/29301de7ef1735183d32c4b5e255610d/-/horizon-files-prod/ed/picture/qngpnw2m/8c79a968f23878c52ac065f65a107b88f11dfc50.jpg
D'occasion,Mazda,2016,Automatique,Ouest foire                                                                                 Dakar,8700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3d55a2c4021eff3e9bea27b7b630927b/-/horizon-files-prod/ed/picture/q8v4xgd0/4ce93184e4713ac8a8eecc3c837e0399688b7caf.jpg
Neuf,B,M,W,Almadies                                                                                 Dakar,25500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f7c05077448889378727c7575fe0cb1f/-/horizon-files-prod/ed/picture/qenv7r74/9add96cc7341a72c70c8ba98496394b6ae73300e.jpg
Venant,Hyundai,2017,Automatique,Yoff                                                                                 Dakar,7000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/084541a958181b16499bcb7fe9012a93/-/horizon-files-prod/ed/picture/q44nmx4m/e36c12975efb8fc3fa41d1687f80fe1d98df5d72.jpg
D'occasion,Citroen,2017,Manuelle,Mbour                                                                                 Thiès,6500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c57a26f52b069b8aa5e9f882d376dc98/-/horizon-files-prod/ed/picture/q78wrgp5/0e688141490b02797f229e7b63af423e24748c4e.jpg
Venant,Ford,2016,Automatique,Cite Mixta                                                                                 Dakar,5200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0c8db199ab84a85e5b38edaf658f3361/-/horizon-files-prod/ed/picture/qxjpxnn0/e5a75d7c5b3ee21342fe26fd2f8282798932a444.jpg
Venant,Ford,2016,Automatique,Hlm grand-yoff                                                                                 Dakar,4700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4936537a2b0a7a4db253998403f8d8dd/-/horizon-files-prod/ed/picture/qm5gnv4w/9e940b4fc6933e46fc81d1824649a4f5b43e530a.jpg
Venant,Hyundai,2016,Automatique,Sicap Sacré-cœur                                                                                 Dakar,13000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/840c46c31c06707e3a071dd4f03c5176/-/horizon-files-prod/ed/picture/qgqw0xe8/89c2d3526d5ba95558e4097ff9d372b410b0680f.jpg
Venant,Renault,2016,Automatique,Liberte 6                                                                                 Dakar,10500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/211ded4671dc21544856360d2929682f/-/horizon-files-prod/ed/picture/q2j0ng5g/9824f52c4c89b15e6068367bb4003edffacc7fcd.jpg
Venant,Ford,2017,Automatique,Sacré-cœur                                                                                 Dakar,7600000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e632e39455ec40f6f82d055e5f75d22c/-/horizon-files-prod/ed/picture/q8v4x04n/4065e06b760dd2e31a6e59ae52bd0e6468e84fd8.jpg
D'occasion,Toyota,2019,Manuelle,Amitié                                                                                 Dakar,22000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/20b567a610987b4e467e0ed91ac6a824/-/horizon-files-prod/ed/picture/qxjped9m/a0c1ca8bfc5f27af8606fb92501dfcdc9abde513.jpg
Venant,Mazda,2017,Automatique,Sicap foire                                                                                 Dakar,13000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/004446e633fbeffd4ca981341bd70d9c/-/horizon-files-prod/ed/picture/qxjpeqqn/6750e567a216ae5693186afccdc8772dfcf133cb.jpg
Venant,Ford,2017,Automatique,Liberte 6                                                                                 Dakar,11000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/93ec7bedcf3668aaeebed459d46d372d/-/horizon-files-prod/ed/picture/q2j05nwe/c82ca1f832f7acaa73d33662558a9089677ae27a.jpg
