condition,description,address,price,image
D'occasionBMW2020Automatique,BMW X5 2020,Cité Damel                                                                                 Dakar,33000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6718f28eb808e81330f09798bd5956b6/-/horizon-files-prod/ed/picture/qrz86gqx/f2a574fbc08904f49dda922e77b324dbcf505169.jpg
VenantFord2016Automatique,Ford Edge 2016,Hlm grand-yoff                                                                                 Dakar,4700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4936537a2b0a7a4db253998403f8d8dd/-/horizon-files-prod/ed/picture/qm5gnv4w/9e940b4fc6933e46fc81d1824649a4f5b43e530a.jpg
VenantJeep2015Automatique,JEEP GRAND CHEROKEE 2015,Cité Damel                                                                                 Dakar,9500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c7d0305be00507d638ead2301bf36753/-/horizon-files-prod/ed/picture/q56dpj96/6736fb8b97f743ece2730846038524bde2a94495.jpg
D'occasionFord2015Automatique,FORD ESCAPE 2015,VDN                                                                                 Dakar,4800000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/214186027727a97c1a012d658177074b/-/horizon-files-prod/ed/picture/qkrgz4qx/93a8f1356d6048392c702cb28d8e89a8992e7a37.jpg
D'occasionKia2012Manuelle,Kia ceed diésel 2012,Plateau                                                                                 Dakar,1700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/45daf764826f0f4bf6177af98631871b/-/horizon-files-prod/ed/picture/q44nr604/3fdd7d204385ce07c8bbbbfa05e30fa8114d817b.jpg
D'occasionFord2012Automatique,Ford edge 2012,VDN                                                                                 Dakar,3600000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c1ff0f8936a0aefe7e1f9eef6223ba2a/-/horizon-files-prod/ed/picture/q6xd549p/773880a043082729163a1294356e467f4b59157b.jpg
D'occasionChevrolet2010Automatique,Chevrolet  2010,Plateau                                                                                 Dakar,2200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d42b53cfdc3d746190ea68be475c4610/-/horizon-files-prod/ed/picture/qm5gd5k6/3fde3a67beecd6d289787b1bc0edcf69c7e5dbc0.jpg
VenantMitsubishi2018Automatique,Mitsubishi outlander sport 2018,Parcelles Assainies                                                                                 Dakar,8700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/39fc8bac9d653599230c88d1ff916f0a/-/horizon-files-prod/ed/picture/q2j0wxjd/34bddf8272e2f7d89e4e0262d23095aa6af14bbe.jpg
D'occasionMazda2017Automatique,Location Mazda CX5 2017,Cambérène                                                                                 Dakar,40000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/34e0886be907b7d0008c453c919af195/-/horizon-files-prod/ed/picture/qv4e8vpg/fabbd4164b88b07528884310bcca959e620f3f41.jpg
D'occasionMazda2014Automatique,Location Mazda cx5,Cambérène                                                                                 Dakar,35000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e25253e2f964baa3c519a892caf1e052/-/horizon-files-prod/ed/picture/q2j0zzpp/0a9e25bc7eccaead957500917fd3daa0b1073dde.jpg
VenantCitroen2016Manuelle,CITROEN C4 2016,Sacré-cœur                                                                                 Dakar,5900000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b6895e728d00292993fbe71033051655/-/horizon-files-prod/ed/picture/q2j0ng7e/33f38d7dcdd213045c9a4d7345adbde7683123ff.jpg
D'occasionPeugeot2014Manuelle,PEUGEOT 3008 2014,Sacré-cœur                                                                                 Dakar,5300000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bdf360f578acbc6391740806c21ec75e/-/horizon-files-prod/ed/picture/qrz847n4/6cab714d1a3089b79b584950773701d3df237fa2.jpg
VenantPeugeot2016Manuelle,PEUGOET 2008 2016,Sacré-cœur                                                                                 Dakar,6800000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f19c817921ec8c44925586212831944d/-/horizon-files-prod/ed/picture/qq428696/6ecfd24b07b2813fd0d995f8a2d7ead0868eaf94.jpg
VenantCitroen2016Manuelle,CITROEN C4 2016,Sacré-cœur                                                                                 Dakar,6500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dcf5bdf8636f7088de27f24fec9174d9/-/horizon-files-prod/ed/picture/qzvp5xzv/eca8985722c8f111397e644e2e9a989f8b71b958.jpg
VenantBMW2016Automatique,BMW 428i 2016,Almadies                                                                                 Dakar,11000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0806f6de9c8c8abc87a601a2474b307a/-/horizon-files-prod/ed/picture/qrzve0v8/bcc4f1130491ea8fb80361369b651b8cce10afce.jpg
D'occasionFord2013Automatique,Ford Escape titanium,Sicap Liberté                                                                                 Dakar,4400 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bca4e04b04470dc36f105c28288f6a3a/-/horizon-files-prod/ed/picture/q78wrgwd/0d4b344840e68483137ed741bd3ff2ebcbe63686.jpg
VenantDodge2018Automatique,Dodge 2018,Ouest foire                                                                                 Dakar,7500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2d03ca348fca83fee21e851f6a514230/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qxjpwx8n/cb41cd6aa307c8c4522c936a07ae1898c1c90fa5.jpg
VenantChevrolet2016Automatique,chevrolet equinox ltz 2016,Liberte 6                                                                                 Dakar,6850000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/471a755ef3b58359ad89eb2666f6ce31/-/horizon-files-prod/ed/picture/q0gwqjdj/6252ae5cd57e53a3c1245209a74bcca025f047ed.jpg
D'occasionToyota2012Automatique,Toyota Land Cruiser Prado,Médina                                                                                 Dakar,17500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3aad2361563ddf5893c199c13f4068f8/-/horizon-files-prod/ed/picture/q8v4dq47/cb01b4bd66f834c65a7f31f1c1f630d9025cdbff.jpg
D'occasionFord2011Automatique,Ford focus 2011,Yoff                                                                                 Dakar,1799000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c072c323771b674660a7d876a4808d5a/-/horizon-files-prod/ed/picture/q2j05enp/8852dcbed50cd3c50f5226185f24b696ecf39fe0.jpg
D'occasionCadillac2013Automatique,Cadillac CTS 2013,Yoff                                                                                 Dakar,2350000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ee16abc156523896e8ae1d2b1283b3c1/-/horizon-files-prod/ed/picture/qm5gd0nr/1e120403ce4e341ddd19a5dd0ca243aaf9c69d39.jpg
D'occasionFord2011Automatique,Belle ford escape 2012 v6 full options,Yoff                                                                                 Dakar,1999000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d3cb1b1905db6a562dd1033d92aff4cf/-/horizon-files-prod/ed/picture/qv4w54mk/7c1c83a7cb1a8aa83293baefe9ab1eb429ce1999.jpg
D'occasionCadillac2013Automatique,Cadillac CTS 2013,Yoff                                                                                 Dakar,2350000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a39594457b80d16c533f9e725672c7c7/-/horizon-files-prod/ed/picture/qv4wxdzv/4396c8f8ad010ef17613017795009b832c3f5862.jpg
VenantMazda2017Automatique,Mazda cx5 2017,Parcelles Assainies                                                                                 Dakar,10500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/42c4c76a0f11496c6e6b92a1903bcf5b/-/horizon-files-prod/ed/picture/qde7e65g/c2358532f6855264148c6cdf8a828a9b7bdcbdee.jpg
D'occasionMitsubishi2017Automatique,Mitsubishi outlander,Djily mbaye                                                                                 Dakar,8300000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/81bb4274285c7c071ba180e91c3cd4bf/-/horizon-files-prod/ed/picture/qj4q762z/4d19595e7ca4468f9302020d244fc6806d90c759.jpg
D'occasionHyundai2016Automatique,Hyundai ix35,Djily mbaye                                                                                 Dakar,5950000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/57633532460798b251f04c1a57e90545/-/horizon-files-prod/ed/picture/q2j0dp0q/4e02cd1ac51487346f9c8e91b505d84989f46421.jpg
