condition,brand,year,gearbox,adress,price,image-src
D'occasion,Citroen,2021.0,Automatique,Hann Bel-Air,9 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0d6223db98ed780194344ae7593b75a6/-/horizon-files-prod/ed/picture/qenqeze6/3e6d4965278cd0b845bcd19739a4f5c55198e044.png
D'occasion,Peugeot,2013.0,Manuelle,Mbao,4 300 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/66319910e2b4ee804e4158338cd22904/-/horizon-files-prod/ed/picture/q56d5j7p/ea14cc1b9e4e1e779995cc9bf4dbff3024702448.jpg
D'occasion,Chevrolet,2015.0,Automatique,Guediawaye,6 400 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f1159ef6265a76ffac8e4d122078fad6/-/horizon-files-prod/ed/picture/q9mjwmzp/00f6f1a4bd0dcbdab388f7162676661a54a99b82.jpg
Venant,Chevrolet,2015.0,Automatique,Ouakam,8 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5a7e2c46c543a2a9414292de5f03b6dc/-/horizon-files-prod/ed/picture/qdekp244/206f42636a8304d9989ba28a2cd056e06ec9f137.jpg
Venant,Mazda,2016.0,Automatique,Grand-Dakar,9 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cdef3e7411c576d803d42fc6fc3f1b69/-/horizon-files-prod/ed/picture/q6xkjk76/3d31c2c3818b27d36eb624ae130b2f436956ceae.jpg
D'occasion,Mercedes-Benz,2016.0,Automatique,Sacré-cœur,20 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/840bc5602ed68cd485fc57346057845e/-/horizon-files-prod/ed/picture/qwe24pwk/749b870e2b2f470e9a0a14e2ae51919f6247ac91.jpg
D'occasion,Jaguar,2019.0,Automatique,VDN,17 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8d9d28140e32e286ea97e5bfcbc74676/-/horizon-files-prod/ed/picture/qwe24kn6/830efeab723570792b556efd7bc3f344d574d059.jpg
Venant,Jeep,2017.0,Automatique,Ouest foire,12 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b25a468c1a666ff4c5f69a0cea105717/-/horizon-files-prod/ed/picture/q448kq75/49163c0e5e346dd7842cf046b0e03403125eb593.jpg
Venant,Ford,2017.0,Automatique,Parcelles Assainies,12 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4b916667919836a74a8cde3964999e41/-/horizon-files-prod/ed/picture/qpd6v7ex/3283bfe230e3b31ef233b0f28c0fb1f3b6ac6f9e.jpg
Venant,Mercedes-Benz,2017.0,Automatique,Golf,18 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/50da154845cb09e60a258bcc704e07b4/-/horizon-files-prod/ed/picture/qgq9x7zn/8498c1c067ff433ed02f12484bad6959ba8e9457.jpg
Venant,BMW,2017.0,Automatique,Plateau,13 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/259533fbb328a02c460dd578e3e587f6/-/horizon-files-prod/ed/picture/qxj2vrkw/f2e33538cddef1fb5e2214a995e1fecf04571069.jpg
Réconditionné,Jeep,2015.0,Automatique,Ouakam,5 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/aa912f77af5a556849e847463765b997/-/horizon-files-prod/ed/picture/qm5peqxr/8afa2cdf0ed66840806a5763bb25c6d2f21a2afb.jpg
Neuf,Kia,2018.0,Automatique,Cité Damel,13 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/72e054ca4240526145dd141bd94f1511/-/horizon-files-prod/ed/picture/q448z675/ea9818ad95a26d7c7b138ae523c79a284fcc5e75.jpg
D'occasion,Hyundai,2017.0,Automatique,Liberte 6,8 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/55d40da75dd3589a281beb176c05cd93/-/horizon-files-prod/ed/picture/q9mj6md6/489c18aae3f98fa4ad6a6a86ededfe28e3f038fc.jpg
Réconditionné,Toyota,2012.0,Automatique,Rufisque,18 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/451a9a177753492af877a23925ea6094/-/horizon-files-prod/ed/picture/qrz80m9g/82387b409f3bfaa233611d074611d83cd7f85e4a.jpg
D'occasion,Kia,2010.0,Automatique,Golf,3 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b2923ac3a0431dfc39d6b94088babb4b/-/horizon-files-prod/ed/picture/qgq9n4ne/1655ab9b3f872bedc71734bd7fbc5f3165036089.jpg
Venant,Ford,2015.0,Automatique,Sicap foire,10 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9ee824b7786510aa439d104dcb8e3e60/-/horizon-files-prod/ed/picture/qkrgkw2z/8c3523f5942ac108f0941cce79acc7aab121cf53.jpg
D'occasion,Ford,2015.0,Automatique,Ouest foire,3 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cc75101bb7328d590bf2121118d3518c/-/horizon-files-prod/ed/picture/q448zwm4/d7604d30b464045fc831b454185a925c889e2d1f.jpg
Venant,Range Rover,2018.0,Automatique,Ouakam,11 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e1abb204083d7aec9ee02319a24bf29d/-/horizon-files-prod/ed/picture/q9m9eqv6/3b46eadf33b91a6d44de23e0966ce19273f143a7.jpg
Venant,Nissan,2018.0,Automatique,Sicap foire,10 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cb44c57c34e9594e4c2479048ca45996/-/horizon-files-prod/ed/picture/q6xk9pvp/687c152a8c9a0a7aa6c17d97d59a3ff7616117aa.jpg
Venant,Hyundai,2019.0,Automatique,VDN,17 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/644b06fb4e8b27ad3723125694817c1e/-/horizon-files-prod/ed/picture/q602v4v/f08d9b79ed8376fe1c0f06439f2b5354e83ecb1e.jpg
Venant,BMW,2018.0,Automatique,Virage,12 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2c093365162b76ae3d147085e717c00b/-/horizon-files-prod/ed/picture/q56x800r/5cf0d1c255c4b13177d46094c456bb1bb6c8b700.jpg
Venant,Nissan,2018.0,Automatique,Nord foire,18 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9ea50b20136fe5a3f15de7e1579a7931/-/horizon-files-prod/ed/picture/qv4e2v4x/97ee7f72c4448ad136dec7362b9969d4e895bafe.jpg
Venant,Hyundai,2016.0,Automatique,Mermoz,5 850 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3ac3a1b0453421ba4e87eaf113fb855c/-/horizon-files-prod/ed/picture/q6xdm4dv/f6dc2fda298655198102597148b5250e3f85eabf.jpg
D'occasion,Ford,2017.0,Automatique,Mermoz,7 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1ffdc3e749f010c8701dad853440ba66/-/horizon-files-prod/ed/picture/q44nm9k2/f9da3a84d5560a6269977073f5de58b9801d3fad.jpg
Venant,Land Rover,2016.0,Automatique,Nord foire,11 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2985d1ed5f79ed9552dd7ad2119a825c/-/horizon-files-prod/ed/picture/qenq64vv/2d39dea13128b91c4a45482028944ea723aab22e.jpg
Venant,Peugeot,2017.0,Automatique,Plateau,7 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ee876930ceb7ce0b34e9a2a312e756bc/-/horizon-files-prod/ed/picture/qpd6xvkm/5ba77ad93a4975838d626cd884d93306e52d6b3a.jpg
Venant,BMW,2020.0,Automatique,Nord foire,19 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a8a815c175a459bd347b196f89263aa1/-/horizon-files-prod/ed/picture/q6xkgp0z/fdbc364bb0e409060aa1f297cf2c5b115adeb646.jpg
