condition,brand,year,gearbox,adress,price,image-src
Venant,Chevrolet,2016.0,Automatique,Sicap Sacré-cœur,5 600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/74aae0dcf828a70b71d56e86ad9d22e7/-/horizon-files-prod/ed/picture/q0g7wgwe/82f648dddc0561b0abc5b176054915fcbeabeb4f.jpg
Venant,Hyundai,2017.0,Automatique,Sicap Sacré-cœur,11 600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7df934c8405c8aadeee58f84ca5ca48e/-/horizon-files-prod/ed/picture/qpdmdj0j/a0b68f383c62334347b76fe89d89ed3344718b37.jpg
Venant,Peugeot,2021.0,Automatique,Cité keur gorgui,22 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/923281e0c8aa724686338d8e1e7b03a8/-/horizon-files-prod/ed/picture/qkr88pnw/3a8f24320b533dee4fab6af5729dc11fb648db02.jpg
Venant,Kia,2018.0,Automatique,Yoff,"10 000 000 F Cfa
        
                    10 000 000 F Cfa
                        
            Économisez 0%",https://i.roamcdn.net/hz/ed/listing-thumb-543w/13c08fc01c71311f4217e6df548adead/-/horizon-files-prod/ed/picture/qngpp78z/c0cbc2d6a14211471c9c89f9113c6e5f515ab5d0.jpg
D'occasion,Jeep,2014.0,Automatique,Almadies,5 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/18d1de584ba000ff244487ab1d4f4194/-/horizon-files-prod/ed/picture/q2j0z4jq/8398b3973d543e23774dc96c9e2516e3a997929e.jpg
Venant,Mazda,2016.0,Automatique,Sicap Liberté,14 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/76a723cf8e87b003f33dbcbfdf18935c/-/horizon-files-prod/ed/picture/qj4qq5m4/a2c71b3e3e547fc04fb5051317a047b33316b82b.jpg
D'occasion,Mitsubishi,2008.0,Manuelle,Liberte 4,3 990 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4c14f5552e3be9490f4f2e8830a3db1c/-/horizon-files-prod/ed/picture/qm5p8k8w/ba6937c01a0e83e88a37f0c9cc7e245de39601c3.jpg
Venant,Mercedes-Benz,2018.0,Automatique,Sicap Sacré-cœur,12 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4646cf72d407b40e455e133c07cd7ba9/-/horizon-files-prod/ed/picture/qngppjww/5f60365d606d405de6ef1063f3eab0d77bb0c8fa.jpg
Venant,GMC,2016.0,Automatique,Sicap Sacré-cœur,12 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/93858d25bf5a6c2cc1aefbaf6a5de9f8/-/horizon-files-prod/ed/picture/qq42256v/6d0633f085c9d85e7a56ee0ee1a2c0bafa2f836f.jpg
Venant,Jeep,2018.0,Automatique,Ouest foire,16 999 995 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/37e0e2d3ce5e3e7b57021d6691c4b0ab/-/horizon-files-prod/ed/picture/qxjppqw0/06af060a4cd32e2343686406fe2c08f352bec96d.jpg
Venant,Nissan,2016.0,Automatique,Ouest foire,7 999 997 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fdcc51d904fb45b4ffc0499b87ca0b9d/-/horizon-files-prod/ed/picture/q2j00gwq/c77690cae8af7ba681bbed2441be03eb71d091ee.jpg
Venant,Ford,2016.0,Automatique,Ouest foire,12 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a71a7fb2c85d8d8e3a4975a139d7d3a7/-/horizon-files-prod/ed/picture/q8v44gdp/473b71aa722b559e309022985348c57be42eb82e.jpg
Venant,Mitsubishi,2017.0,Automatique,Parcelles Assainies,9 400 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0cabc36ec30cca47a6ed04c92fb4cd37/-/horizon-files-prod/ed/picture/qgqw9zm4/4e1adf96c48679a9648482535995d4e6286833f9.jpg
Venant,BMW,2021.0,Automatique,Sacré-cœur,47 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0eb5ad566dc8f26073053c6309a650c6/-/horizon-files-prod/ed/picture/qm5ggdjq/6cce29ff18260190face461d5c70faf4c8230bad.jpg
Venant,Range Rover,2016.0,Automatique,Sicap Sacré-cœur,26 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/534a9577a8a60ef5af72db90339d5dd1/-/horizon-files-prod/ed/picture/qzvp47zv/99af520028e50417ada2b7431d580bb07ba0ea37.jpg
Venant,Mercedes-Benz,2019.0,Automatique,Sicap Sacré-cœur,16 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/65242487745b230cf59918c60d301871/-/horizon-files-prod/ed/picture/qenvvxmz/d4107223eb212084325b4f34d04c73a8a3fa5470.jpg
D'occasion,Peugeot,2018.0,Automatique,Hann maristes,8 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/14f613c0a95d87ce0de18d0f9b55323c/-/horizon-files-prod/ed/picture/q0g775v8/1241e3ab7daf47bcca0fef321db31f12b61a5e57.jpg
Venant,Ford,2012.0,Automatique,Yoff,6 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9fdb0922487709177c05ebf5eab51eef/-/horizon-files-prod/ed/picture/qpdmdd4x/8400e6b2977994f5d1d167186dcb09d8a89b28c8.jpg
Venant,Ford,2017.0,Automatique,VDN,7 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0240ffa0f486c651403a5afcee331170/-/horizon-files-prod/ed/picture/qgqww0r0/a4543cf199bb921b4f6586310fd8dd4b971a2b44.jpg
Venant,Citroen,2016.0,Automatique,Parcelles Assainies,7 700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0f635b56ee4f00f2ce6e727ef4f03e7b/-/horizon-files-prod/ed/picture/q56dd8de/9bab4bb45b97c76940cb5d4f1de09c5c13b32a92.jpg
Venant,Renault,2018.0,Automatique,Parcelles Assainies,9 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fb4f6936b793f00cf8a8e4b1dc5f798e/-/horizon-files-prod/ed/picture/qq4228zw/f700bbc11ca63aa622ef426d894dcbb90115089a.jpg
D'occasion,Dodge,2020.0,Automatique,Mermoz,17 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0c95332f08a5202845c0f30d417936a8/-/horizon-files-prod/ed/picture/q56x08ze/88cc510d58bbd87aea66285683bb6e17fdfd36c4.jpg
D'occasion,Nissan,2014.0,Automatique,Liberte 6,4 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d631c173ba4c424e6b4b8c2d87b3a450/-/horizon-files-prod/ed/picture/q56xmdqn/8de2db76449c0fb00711d35143cac951407580f5.jpg
Venant,Citroen,2016.0,Automatique,Yoff,7 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/550617e883f656c04a9464c6eeb34fa1/-/horizon-files-prod/ed/picture/qkr88z48/923327e2ddf8b5015792c553ceeb62ed3b40a3b0.jpg
D'occasion,Hyundai,2018.0,Automatique,VDN,9 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9f1dba15b41e95c1811d18cd51a9e52b/-/horizon-files-prod/ed/picture/qm5ggwe9/4415f884a26c5663d88f2eb9b168d793a180aab4.jpg
Venant,Land Rover,2016.0,Automatique,Sicap Sacré-cœur,13 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b37081eb5a874782c8773f097386f9a2/-/horizon-files-prod/ed/picture/qpdm64rj/78e529de7b53560e80421282e3083a5e794d6255.jpg
Venant,Jeep,2017.0,Automatique,Sicap Sacré-cœur,9 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/466f2dced9fdc61a685d95ec341be9cb/-/horizon-files-prod/ed/picture/q56dd2d2/c89e610e60735c3274e9d0d8c42f869723d2e160.jpg
Venant,Peugeot,2018.0,Automatique,Sicap Sacré-cœur,16 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/882b5c56d14f74b708b60951f19d519e/-/horizon-files-prod/ed/picture/qpdmm502/8af9bc93f0da6cdb7f75c953f89bfd325e75fabb.jpg
Venant,Mazda,2017.0,Automatique,VDN,16 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c45d6df382694811a229a69daff1bab0/-/horizon-files-prod/ed/picture/qenv57rd/520646b72fa85feec2fae29b118c1ac68ac0c7aa.jpg
Neuf,Mini,2015.0,Manuelle,Gorée,4 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3cfb7e58dda5fe798066266eab7abf6b/-/horizon-files-prod/ed/picture/qj4q404w/b88e52f49f07a8fed80a7bb87fb011172136dbab.jpg
Venant,Ford,2016.0,Automatique,VDN,8 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b5fd97880a0b0000d5c348bfa2cac096/-/horizon-files-prod/ed/picture/qde7754m/2b2c0ea02cde9c8eb3dfaad2a4dc28d688aaf3f5.jpg
D'occasion,Peugeot,2011.0,Automatique,Saly Portudal,3 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ac9c92451abd42ba48de6ad4db27334e/-/horizon-files-prod/ed/picture/q78wjvxz/634b8137ead8ac7e2011b308a7770117b8ff4215.jpg
Venant,Mazda,2023.0,Automatique,Grand-Dakar,12 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a9be22b36283be4516171e43bce1c189/-/horizon-files-prod/ed/picture/qdekgq5g/851f4a934a3d95dc7a33adbc3c6e05f683d030db.jpg
D'occasion,Chevrolet,2015.0,Automatique,Dalifort,2 700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/dfad449565ba860d0190559e7309eb61/-/horizon-files-prod/ed/picture/qrz8vz4n/e67156437958052df8ddc9be4ea1ceb984a4b855.jpg
D'occasion,Ford,2012.0,Automatique,Sacré-cœur,4 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7a0892334d39c0f55310c0af067d2fa0/-/horizon-files-prod/ed/picture/qrz8r2d9/704f4d2b819acc60c38c6ece3257ecd3ac227a12.jpg
D'occasion,Ford,2014.0,Automatique,Hann Bel-Air,4 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/badf2235915bf1c4ac7b90a06f05a87e/-/horizon-files-prod/ed/picture/qde79rx7/d8e42cd946155748c661705e304dc969b4f581ed.jpg
Venant,Ford,2016.0,Automatique,Guediawaye,11 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a877e4dc301a15722c80f5eaadeeb288/-/horizon-files-prod/ed/picture/q44n5jev/97c7f16521d908e62a3d48f4a1b255516c0d3c0b.jpg
Venant,Land Rover,2016.0,Automatique,Sacré-cœur,12 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f6efb2c812a91e8f5d312601af6771d2/-/horizon-files-prod/ed/picture/q78wj86d/6d15bd4e21b9a5b7739043ff7a4f759f8a016181.jpg
Venant,Range Rover,2016.0,Automatique,Sacré-cœur,13 100 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b029a3022ac0c4ed23f81891ac42b742/-/horizon-files-prod/ed/picture/q0g7kg46/304f850a824742d05002172fce8c90eb15723ebd.jpg
D'occasion,BMW,2010.0,Automatique,Liberte 6,4 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3e877176e4a92d1181496b165608af6e/-/horizon-files-prod/ed/picture/q56dp60g/8bca754bf92d84ec8c21913bf91aee0a8c90daed.jpg
Venant,Peugeot,2016.0,Automatique,Liberte 6,4 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/22a45b81b72b7b2c62d7f889f117fd35/-/horizon-files-prod/ed/picture/q0g7kgj6/1dcdd2f0bd1ddea3e6a1e5d88ed2595bd81ace92.jpg
Venant,Peugeot,2016.0,Automatique,Liberte 6,7 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f955f3ad8166fdadb92bbdd532a246e3/-/horizon-files-prod/ed/picture/qxjp8jrj/85a5e2e6a5e4d600ebeba1ce8264ed507a333b41.jpg
D'occasion,Peugeot,2000.0,Manuelle,Plateau,650 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1714d8dedd4c17b13d6b593ddbb96a70/-/horizon-files-prod/ed/picture/qgqwmqx9/6afba9bd68438813974787692e139163ecc779bc.jpg
Venant,Jeep,2015.0,Automatique,Almadies,9 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b9d410d688b52168cf26a6c004aaff92/-/horizon-files-prod/ed/picture/qenvrn42/69bb44bec329318b62da663757f277f91eae51bb.jpg
D'occasion,Kia,2017.0,Automatique,Hann maristes,5 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/25f5be9473a86048b1f25f10dc51ec0f/-/horizon-files-prod/ed/picture/q8v447kp/ef67afbf05baf34cb0ec5fd7ebf8989f09273627.jpg
D'occasion,Ford,2012.0,Automatique,VDN,2 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/926b9e099597337c314e4aabf10a58c4/-/horizon-files-prod/ed/picture/q9mjk805/d6779bbc90ec13edcb4fb3789a10dae8b027ec21.jpg
Venant,Kia,2023.0,Automatique,Mermoz,24 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/28379e44f0928715f845aa79c6af3bbe/-/horizon-files-prod/ed/picture/qwep52n5/a424f75d496963cc0877ed913f983f93ab735087.jpg
D'occasion,Ford,2013.0,Automatique,Golf,3 700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d3a5b5f725f4f0e2c1874ed9065fbbb7/-/horizon-files-prod/ed/picture/q2j00jr8/dbe57e81fa4f14db608c75a0cd5a4a41231920a8.jpg
Venant,Hyundai,2015.0,Automatique,Ouest foire,5 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1cac26554af3dd4c573ad8b50a2889a7/-/horizon-files-prod/ed/picture/qweprzek/a649029556bed78873a55e0c34d0f7c3f2eae110.jpg
D'occasion,Dacia,2016.0,Manuelle,Sacré-cœur,5 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9b0b3c16d20c4cfaaf75dbbc75078d1c/-/horizon-files-prod/ed/picture/qv4wdpmw/18100ee976b4811e47e0e059dd2baeda659ddfd9.jpg
D'occasion,Peugeot,2013.0,Manuelle,Avenue Bourguiba,4 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d471842e1f5f1e50ed623c73e86d3b19/-eyJvciI6MjcwfQ%3D%3D/horizon-files-prod/ed/picture/q6xdq6x6/1c7df46ca2ff1dd1dc77768d751be60fe867f39a.jpg
D'occasion,Toyota,2010.0,Manuelle,Sacré-cœur,4 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c3e2dd0ac8abe51cf9e82034b8cde053/-/horizon-files-prod/ed/picture/q8v4mz50/14aac567ba8c64eabcdd70d6ced1b18cdeceeb78.jpg
D'occasion,Kia,2016.0,Automatique,Amitié,7 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2a072925c22cf0276dd7e89fe4a01c94/-/horizon-files-prod/ed/picture/qpdmgwmj/4b792d3cb356665808cb01d4fc1cd8a2af01c64f.jpg
D'occasion,Toyota,2007.0,Manuelle,Guediawaye,4 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/42b3bc546ad741e30fe1dff93fb629e2/-/horizon-files-prod/ed/picture/qm5g0rgg/cfb95cf7cce9a9ae07013e16bca0be60992f07b7.jpg
Venant,Peugeot,2016.0,Automatique,Parcelles Assainies,8 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6c5f15ef4d5bd4207c9903e3fe5de269/-/horizon-files-prod/ed/picture/qrz8rqnq/544f8b404b546d5f75d7f514e933a115e55dbb38.jpg
Venant,Jeep,2017.0,Automatique,Guediawaye,9 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c6792019a12755d52b6f559a424f9edd/-/horizon-files-prod/ed/picture/q9mjk8dp/67501a6ca1a9b1ae7318caf42f2064b6f2042196.jpg
Venant,Mazda,2017.0,Automatique,Guediawaye,11 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8b5be4b1b3433b87a8b9e4ab6c1fb5e0/-/horizon-files-prod/ed/picture/qweprz5m/a6206d31b3bcacb5beeda353465449ac26660180.jpg
Neuf,BMW,2016.0,Automatique,Cité Damel,12 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/19494402d65d2d118f008cdfbb65bfcf/-/horizon-files-prod/ed/picture/q6xd77w6/9a5509cf5f25f10973bc1845e3aaa9913c84495b.jpg
D'occasion,Mercedes-Benz,2017.0,Automatique,Sicap foire,25 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5f454b5ec6e41d18acf3c4dfa74f9896/-/horizon-files-prod/ed/picture/qgqwmgk4/92c924cf1f4d746ef60cb9fe433434037beaa32f.jpg
D'occasion,Ford,2013.0,Automatique,Plateau,4 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/76054fbd063b46ebf320ea2eb03bdde8/-/horizon-files-prod/ed/picture/qgqwwzee/d714ce623b30ec439c8818e2881c10d6cebe7b44.jpg
Venant,Mercedes-Benz,2016.0,Automatique,Plateau,16 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9246c3867dd84b50a8a0dc2a37d3cd16/-/horizon-files-prod/ed/picture/q2j00jdg/098497fbfb9513609679ade4fd2ddba8645ed50a.jpg
Venant,Mitsubishi,2016.0,Automatique,Plateau,8 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/799c7852cedf543f3305a7747bbb522c/-/horizon-files-prod/ed/picture/q0g7k20e/19a0464b8e60a6688b10f5b1e1bc0971ebb77245.jpg
D'occasion,BMW,2016.0,Automatique,Sicap Liberté,12 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bf843662b2d76e4660ca5102add32fe4/-/horizon-files-prod/ed/picture/q8v5wrqj/a08c704d57d0b267fbb94630bca38373dcae3c3d.jpg
D'occasion,Hyundai,2011.0,Manuelle,Ouest foire,2 650 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/933ecba679fa4d3f607b36b32ba4c598/-/horizon-files-prod/ed/picture/qq422p9w/26b30422ec9ab840325f837611ae52083d0ade62.jpg
Venant,Kia,2020.0,Automatique,Médina,18 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/14a5584ffc3ab3138509651eead882d7/-/horizon-files-prod/ed/picture/qm5g0rvw/ba89d141bb449de534ea3b8cf492d763a887aadb.jpg
D'occasion,Ford,2017.0,Automatique,Mermoz,6 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c6d2018892bc8b79be132b52a42b7b0d/-/horizon-files-prod/ed/picture/qkr87gr2/15c53f52d0d107bea4e82a3f420e33afcab6e556.jpg
Venant,BMW,2016.0,Automatique,VDN,17 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e0ae69b095310918b7444713ba55cfcf/-/horizon-files-prod/ed/picture/qde79kk7/1c90e4cb496f50bd9a58d7ad1ff17f6aa5531aee.jpg
Venant,Hyundai,2017.0,Automatique,VDN,12 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f6a5a749a8e711504323713fcacf49b7/-/horizon-files-prod/ed/picture/qzvp8ddr/ab1a169a20e09c6e18075e85320c23553f06e616.jpg
Venant,Hyundai,2015.0,Automatique,VDN,9 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f1d19d507a5cf0e63d3cc56c472a3c0a/-/horizon-files-prod/ed/picture/qv4wdeex/2fe2b67fd3b0399d9670bce03c461aede68ad7a8.jpg
Venant,Chevrolet,2016.0,Automatique,Yoff,7 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7c40df3792455da7cfcf183ddc36b050/-/horizon-files-prod/ed/picture/qenvrqq9/e5f692269a224745a7dbd1db5d580197a6aa2515.jpg
Venant,Hyundai,2017.0,Manuelle,VDN,11 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/abb51c7c17125ac10728bcb747454f55/-/horizon-files-prod/ed/picture/qq42z77n/ef0714679e1cd57a1744ba7163d4b22e0debb5ff.jpg
Venant,Hyundai,2016.0,Automatique,VDN,11 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/363cea34ce2244608e02664936954c3c/-/horizon-files-prod/ed/picture/q0g7kw7z/7cf2349e38299a6338026a34e46ff932c7b55658.jpg
D'occasion,BMW,2017.0,Automatique,VDN,7 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2effc38dc2cbf1e56c67775c69062f81/-/horizon-files-prod/ed/picture/q56d4ev0/b575dcc8be2d57b5c149045b30cda95e8cc0d6a8.jpg
D'occasion,Ford,2017.0,Automatique,Sicap Liberté,9 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8c050e44007327fa6589482cac76bba8/-/horizon-files-prod/ed/picture/qkr87g6v/4ed02e59994301533345a117c7c3f8995270f723.jpg
Venant,Hyundai,2014.0,Automatique,Sicap Sacré-cœur,7 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/108dbcc3a5da07e7b52ea61969ac6582/-/horizon-files-prod/ed/picture/q2j0kqgv/dfee38559d33b3d16560e55f11b6ee084b7542c0.jpg
Venant,Range Rover,2016.0,Automatique,Liberte 6,11 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d6f374756d6730984b7662f21c07e3bd/-/horizon-files-prod/ed/picture/qngp9xzx/bd4335862fd95cee01998a196f4709b8be2deede.jpg
Venant,Hyundai,2017.0,Automatique,Liberte 6,11 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5bce56d1e0aae6ae09b0bbb3aa79acab/-/horizon-files-prod/ed/picture/qv4wdeq5/d6d03b2438e0289babf2b1639b3d1300f3ea5c5a.jpg
D'occasion,Ford,2014.0,Automatique,Liberte 6,3 750 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a2c90e4db4104a7abf413c58e8af0ad0/-eyJvciI6OTB9/horizon-files-prod/ed/picture/qwepzwpj/5165a3abf3944c915ed3649f57441518cefac4e1.jpg
Venant,Mazda,2017.0,Automatique,Liberte 6,13 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/717f7c868568007c146472756d8a1f58/-/horizon-files-prod/ed/picture/q56dpx8r/167959e3469e5a27b94dd5528fa1fe4289229716.jpg
Venant,Jeep,2015.0,Automatique,Liberte 6,8 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a5b6ee64ddb41e4c7338a54cd561521e/-/horizon-files-prod/ed/picture/qzvp8d5x/ef9190202963c591947df5e1bb1d854d764d5bf3.jpg
D'occasion,Toyota,2015.0,Manuelle,Bargny,4 690 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8fbda4f6ab759bd86f0f2ff91153db98/-/horizon-files-prod/ed/picture/q6xdqk4z/e08bf41b031e56c4f03f70b68d12e5ae50b38e78.jpg
Neuf,BMW,2016.0,Automatique,Zac Mbao,18 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c52fe0fb5f7f5c48c41ce765d10f35b2/-/horizon-files-prod/ed/picture/qde7726r/db12a18407a8d049d683d29e06bfc7fe4bec9d01.jpg
Venant,Hyundai,2016.0,Automatique,Parcelles Assainies,7 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ed05d20e706793b09e9e0a9cc399d036/-/horizon-files-prod/ed/picture/qngp5e7z/06b4dd0bcacd7b24e633883c7693776500c97572.jpg
Neuf,Chevrolet,2015.0,Automatique,Cité Damel,7 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/083c05fad6d01236f9d0453f006cc51c/-/horizon-files-prod/ed/picture/q448z5g2/89d938323df4f84a824cb52ca4909c02143c94d8.jpg
Venant,Hyundai,2016.0,Manuelle,Guediawaye,5 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/dffa91811c8f65259da3207530a08660/-/horizon-files-prod/ed/picture/qngp9x9k/30a08ed35ff4918a9e0142bd6637cb1257f66fd8.jpg
Venant,Opel,2013.0,Automatique,Rufisque,5 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0786c09a6b97c802ffd15f5f6283a777/-/horizon-files-prod/ed/picture/qq42z7ne/ce106c4f765519c549207d4d8050075e3dbf7bc4.jpg
D'occasion,Hyundai,2019.0,Manuelle,Cité keur gorgui,8 100 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fab5ab435267baf252b8429558cd2f58/-/horizon-files-prod/ed/picture/qrz8rvmg/3ed2e8dece32d672ac3f14a8fd1a4744a701d432.jpg
D'occasion,Peugeot,2015.0,Automatique,Parcelles Assainies,5 950 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cb8beba1f04df168b16a9fbe60598330/-/horizon-files-prod/ed/picture/qwepr24g/5cb80034245f3de402162195d244c1ae5a8334e9.jpg
D'occasion,Toyota,2013.0,Manuelle,Liberte 6,13 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c9cde47fef1a4c3d5ce1644540892daf/-/horizon-files-prod/ed/picture/qv4wde7p/d8e07d434f096c0f60a35b044d9fc06749a15240.jpg
D'occasion,Chevrolet,2013.0,Automatique,Grand-Yoff,2 700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1f17c7b1b5b00475e7f6e5794ac86068/-/horizon-files-prod/ed/picture/q78ww578/f58bd79292395d359c67bfe27cec65e790816fc1.jpg
D'occasion,Peugeot,2016.0,Automatique,Sacré-cœur,6 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4887d0d117589d9517b488d1cf4b708d/-/horizon-files-prod/ed/picture/qj4q64ve/5e7331821ef10670d568a8ecf2acf28859d35a20.jpg
Venant,Hyundai,2017.0,Automatique,Guediawaye,9 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ef07ac1a42368394951c17332fb074a1/-/horizon-files-prod/ed/picture/qngp9p5e/29a6622279db7ace5dd8ad0bcf9726c1f22548ca.jpg
Venant,Ford,2016.0,Automatique,Guediawaye,11 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a4108d3905db9beb2e0511574b7b5411/-/horizon-files-prod/ed/picture/qkr878r8/127bf23ee92d2e4c159e33077711516654fcd9b7.jpg
Venant,Jeep,2018.0,Automatique,Guediawaye,13 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/963ebbf7f530a5be42808231b8f1ff0e/-/horizon-files-prod/ed/picture/q56dpd6g/dfa46e4a3dba61f732288db62467625f75ddd593.jpg
D'occasion,Mercedes-Benz,2009.0,Automatique,Liberte 6,2 700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/54c0d9e1fc21decf33b72eb5a5a85f3a/-/horizon-files-prod/ed/picture/q78wjw8d/adeaf678f68a2aadfdc866c9bd7975455f0b861e.jpg
